NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
NGC 4349 127 b,9.88561,1.68103,677.8,0.19,61,2454114,188,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L
GJ 676 A b,4.43286,1.80757,1050.3,0.328,85.7,2455411.9,117.42,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F
HIP 109384 b,1.56499,1.13482,499.48,0.549,104.49,2456337.02,56.53,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H
HD 47186 c,0.348285,2.38704,1353.6,0.249,26,2452010,6.65,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HIP 14810 d,0.5806,1.88623,950.69651,0.165251,296.832,2454345.169,12.2451,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W
HD 142245 b,1.89038,2.77628,1299,0,234,2454760,24.8,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 30177 b,9.68782,3.80821,2770,0.193,34,2451437,146.8,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T
bet Cnc b,7.8,1.67364,605.2,0.08,58.9,2453229.8,133,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L
HD 190647 b,1.90296,2.07238,1038.1,0.18,232.5,2453868,36.4,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N
HD 97658 b,0.024749,0.0796373,9.4909,0.064,351,2456361.8051,2.9,Dragomir 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H
HD 106270 b,11.0869,4.37827,2890,0.402,15.4,2454830,142.1,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 30856 b,1.85721,2.04004,912,0.117,180,2455260,31.9,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 24064 b,9.45161,1.29459,535.6,0.35,250.8,2455278.3,251,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
HD 48265 b,1.47557,1.80168,780.3,0.08,340,,27.7,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J,Minniti 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M
HD 34445 c,0.16788,0.71769,214.67,0.036,150,,5.45,Vogt 2017,http://adsabs.harvard.edu/abs/2017AJ....154..181V,Vogt 2017,http://adsabs.harvard.edu/abs/2017AJ....154..181V
HD 89307 b,1.79148,3.26609,2166,0.2,4.9,2452346.4,28.9,Fischer 2009 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 163607 c,2.2924,2.41789,1314,0.12,265,2455085,40.4,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G
HD 4313 b,2.17173,1.13327,356,0.041,85.59,2454804,46.9,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 2638 b,0.477325,0.0435743,3.4442,0,0,2453323.206,67.4,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M
HD 168443 b,7.69745,0.29385,58.11247,0.52883,172.923,2455626.199,475.133,Pilyavsky 2011 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2011ApJ...743..162P,Marcy 1999,http://adsabs.harvard.edu/abs/1999ApJ...520..239M
HD 10180 f,0.0743252,0.49279,122.72,0.133,265,2454027.5528,2.95,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 45350 b,1.83614,1.94413,963.6,0.778,343.4,2451825.3,58,Endl 2006,http://adsabs.harvard.edu/abs/2006AJ....131.3131E,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M
HD 69830 c,0.0367709,0.185072,31.559999,0.13,221,2453469.6,2.66,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L
TYC 1422-614-1 b,2.5,0.697981,198.4,0.06,50,2453236.5,82,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015A%26A...573A..36N,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015A%26A...573A..36N
HD 47186 b,0.071203,0.0498411,4.0845,0.038,59,2454566.95,9.12,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HD 148427 b,1.14357,1.03886,331.5,0.16,277,2453991,27.7,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
epsilon Tau b,7.67663,1.93647,594.90002,0.151,94.4,2452879,95.9,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S
HD 208487 b,0.5122,0.520765,130.08,0.24,113,2450999,19.7,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T
epsilon Eri b,1.05448,3.37558,2500,0.25,6,2448940,18.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Hatzes 2000,http://adsabs.harvard.edu/abs/2000ApJ...544L.145H
HD 20782 b,1.9,1.36607,591.9,0.97,147.7,2451083.8,185.3,O'Toole 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392..641O,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J
HD 190360 c,0.0589738,0.129216,17.111027,0.23747,5.18038,2454389.63,4.84311,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V
HD 128356 b,0.748401,0.756964,298.2,0.57,84.2,,36.9,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J
HD 141399 d,1.18891,2.09454,1069.8,0.074,-140,,22.63,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Vogt 2014,http://adsabs.harvard.edu/abs/2014ApJ...787...97V
HD 65216 b,1.21636,1.37427,613.09998,0.41,198,2450762,33.7,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
GJ 3634 b,0.0221881,0.0286881,2.64561,0.08,84,2455390.417,5.57,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B
HD 130322 b,1.04309,0.0896052,10.7085,0.011,145,2453995,108.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U
omega Ser b,1.70083,1.07698,277.02,0.106,132,2450022,31.8,Sato 2013,http://arxiv.org/abs/1304.4328,Sato 2013,http://arxiv.org/abs/1304.4328
HD 34445 f,0.123778,1.54309,676.8,0.031,210,,2.74,Vogt 2017,http://adsabs.harvard.edu/abs/2017AJ....154..181V,Vogt 2017,http://adsabs.harvard.edu/abs/2017AJ....154..181V
HD 16175 b,4.65551,2.12634,995.4,0.637,221.5,2455801.4,103.5,Diaz 2016,http://adsabs.harvard.edu/abs/2016A%26A...591A.146D,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P
HD 46375 b,0.227201,0.0399038,3.023573,0.063,114,2451071.53,33.65,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M
HD 98219 b,2.12353,1.32398,436.9,0,47,2455140,41.2,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 12648 b,2.89937,0.543924,133.6,0.04,99.3,2452324.7,102,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
HD 11964 b,0.608106,3.1288,1944.5898,0.041,154.961,2454170.722,9.41101,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
mu Leo b,2.4,1.12966,357.8,0.09,227.1,2452921,52,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L
HD 139357 b,10.0754,2.34618,1125.7,0.1,235.4,2452466.7,161.2,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D
HD 1461 b,0.0240044,0.0635202,5.7727,0.14,58,2450366.519,2.7,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R
HD 8535 b,0.682196,2.4447,1313,0.15,61,2454537,11.8,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 3167 d,,0.0777496,8.509,0,90,,,Christiansen 2017,http://adsabs.harvard.edu/abs/2017AJ....154..122C,Christiansen 2017,http://adsabs.harvard.edu/abs/2017AJ....154..122C
HD 4203 b,2.08215,1.16537,431.88,0.519,329.1,2451918.9,60.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V
HD 102956 b,0.951497,0.0810025,6.4948,0.048,12,2455352.26,73.4,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J
GJ 176 b,0.0259969,0.0656822,8.7832,0,0,2454399.79,4.12,Forveille 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..645F,Forveille 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..645F
HD 23079 b,2.4433,1.59509,730.6,0.102,55,2450492,54.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2002,http://adsabs.harvard.edu/abs/2002ApJ...571..528T
HD 178911 B b,7.29127,0.344904,71.484,0.114,168.2,2453808.1,343.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Zucker 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..363Z
HD 162020 b,15.2138,0.0756944,8.428198,0.277,28.4,2451990.677,1813,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U
HD 168746 b,0.245103,0.0655505,6.404,0.107,17,2451757.83,28.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Pepe 2002,http://adsabs.harvard.edu/abs/2002A%26A...388..632P
GJ 876 c,0.612168,0.129574,30.0881,0.25591,48.76,2450577.5,88.34,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,Marcy 2001,http://adsabs.harvard.edu/abs/2001ApJ...556..296M
HD 215497 b,0.020855,0.0465952,3.93404,0.16,96,2454858.95,2.98,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
HD 154345 b,0.956901,4.21377,3341.5588,0.044,68.1543,2452831.223,14.0318,Wright 2008,http://adsabs.harvard.edu/abs/2008ApJ...683L..63W,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W
BD -06 1339 b,0.0268039,0.0428543,3.8728,0,90,2455220.5,4.4,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L
HD 217107 b,1.40112,0.0750282,7.1268163,0.126686,24.3621,2454395.787,139.204,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F
mu Ara c,1.88907,5.34057,4205.8,0.0985,57.6,2452955.2,21.79,Pepe 2007,http://adsabs.harvard.edu/abs/2007A%26A...462..769P,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M
HD 7199 b,0.295018,1.36155,615,0.19,155,2455030,7.76,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D
GJ 433 b,0.0181986,0.0580371,7.3709,0.08,204,2494287,3.11,Delfosse 2013,http://adsabs.harvard.edu/abs/2013A%26A...553A...8D,Delfosse 2013,http://adsabs.harvard.edu/abs/2013A%26A...553A...8D
HD 159243 b,1.13,0.110366,12.62,0.02,223,2456426.11,91.1,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
HD 285507 b,0.917,0.0588842,6.0881,0.086,182,2456263.121,125.8,Quinn 2014,http://adsabs.harvard.edu/abs/2014ApJ...787...27Q,Quinn 2014,http://adsabs.harvard.edu/abs/2014ApJ...787...27Q
HD 40307 d,0.028076,0.132422,20.46,0,0,2454532.42,2.55,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M
HD 290327 b,2.54762,3.43052,2443,0.08,268,2455326,41.3,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
GJ 876 e,0.039229,0.333345,124.26,0.055,239,2450519.598,3.42,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R
HD 169830 c,4.06407,3.60184,2102,0.33,252,2452516,54.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
GJ 3998 b,0.00780644,0.0297443,2.64977,0,90,,1.82,Affer 2016,http://adsabs.harvard.edu/abs/2016A%26A...593A.117A,Affer 2016,http://adsabs.harvard.edu/abs/2016A%26A...593A.117A
47 UMa c,0.545774,3.57197,2391,0.098,295,2452441,8,Gregory 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G,Fischer 2002,http://adsabs.harvard.edu/abs/2002ApJ...564.1028F
HD 133131 A b,1.42058,1.44284,649,0.33,16,2452327,36.52,Teske 2016,http://adsabs.harvard.edu/abs/2016AJ....152..167T,Teske 2016,http://adsabs.harvard.edu/abs/2016AJ....152..167T
HD 63765 b,0.643827,0.94038,358,0.24,122,2454404,20.9,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S
HD 233604 b,6.62362,0.746644,192,0.05,281,2453022,177.8,Nowak 2013,http://adsabs.harvard.edu/abs/2013ApJ...770...53N,Nowak 2013,http://adsabs.harvard.edu/abs/2013ApJ...770...53N
HD 85390 b,0.131884,1.52377,788,0.41,266,2454464.2,3.82,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M
HD 219077 b,10.4511,6.21822,5501,0.77,57.61,2450455.8,181.4,Marmier 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..90M,Marmier 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..90M
55 Cnc e,0.0261924,0.0154393,0.736546,0,90,2455568.011,6.3,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M
HIP 57274 d,0.528573,1.00678,431.7,0.27,187.2,2455108.116,18.2,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F
HD 221287 b,3.11535,1.25015,456.10001,0.08,98,2453263,71,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N
HD 192699 b,2.29191,1.12292,345.53,0.129,41.3,2454036.6,49.3,Bowler 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..396B,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J
HD 181342 b,3.14944,1.777,663,0.177,281,2454881,52.3,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 131496 b,2.24115,2.1121,883,0.163,22,2456040,35,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 44219 b,0.589265,1.18713,472.3,0.61,147.4,2454585.6,19.4,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
75 Cet b,2.7597,1.97678,691.9,0.117,165,2452213,38.3,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
HD 220074 b,11.1883,1.60044,672.1,0.14,323,2451158.2,230.8,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L
HIP 2247 b,5.12319,1.33884,655.6,0.54,112.2,2454627.1,173.3,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
GJ 876 d,0.0184193,0.0208066,1.93778,0.207,234,2450600.2,6.56,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,Rivera 2005,http://adsabs.harvard.edu/abs/2005ApJ...634..625R
HD 38529 b,0.803263,0.1272,14.310195,0.243663,95.3538,2454384.815,57.0213,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F
Proxima b,0.00369455,0.0482823,11.186,0,310,2451640.946,1.38,Anglada-Escude 2016,http://adsabs.harvard.edu/abs/2016Natur.536..437A,Anglada-Escude 2016,http://adsabs.harvard.edu/abs/2016Natur.536..437A
BD +20 2457 c,6.90191,1.45701,621.99,0.18,126.02,2453866.95,160.03,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N
HD 22781 b,13.8403,1.16847,528.07,0.8191,315.92,2454881.4,726.4,Diaz 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D,Diaz 2011,http://adsabs.harvard.edu/abs/2011EPJWC..1102006D
HD 120084 b,4.4772,4.26892,2082,0.66,117,2450774,53,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S
HD 95127 b,5.0362,1.2802,482,0.11,40,2453200,116,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N
HD 20868 b,2.00901,0.947319,380.85,0.75,356.2,2454451.52,100.34,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HIP 107773 b,1.97931,0.723051,144.3,0.09,166,2456202.3,42.7,Jones 2015,http://adsabs.harvard.edu/abs/2015A%26A...580A..14J,Jones 2015,http://adsabs.harvard.edu/abs/2015A%26A...580A..14J
HD 215152 c,0.0054082,0.0673941,7.28243,0,90,,0.675,Delisle 2018,http://adsabs.harvard.edu/abs/2018A%26A...614A.133D,Delisle 2018,http://adsabs.harvard.edu/abs/2018A%26A...614A.133D
HD 107148 b,0.212171,0.270013,48.056,0.05,75,2439969,10.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 1666 b,6.47072,0.937147,270,0.63,293.9,2453526.3,199.4,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
HD 95872 b,4.59415,5.15426,4375,0.06,32.9,2449869,59,Endl 2016,http://adsabs.harvard.edu/abs/2016ApJ...818...34E,Endl 2016,http:/adsabs.harvard.edu/abs/2016ApJ...818...34E
51 Peg b,0.461143,0.0521068,4.230785,0.013,58,2450001.51,55.94,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Mayor 1995,http://adsabs.harvard.edu/abs/1995Natur.378..355M
HD 5319 c,1.15,2.0717,886,0.15,252,2453453,18.8,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
55 Cnc f,0.172877,0.773567,261.2,0.32,139,2450080.9108,6.2,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,Fischer 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..790F
GJ 628 b,0.00608135,0.0374757,4.88693327,0.153026,270.438,2456309.022710563,1.66687,Astudillo-Defru 2017 (corrected; private communication),http://adsabs.harvard.edu/abs/2017A%26A...602A..88A,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A..88A
HIP 67851 b,1.41789,0.458562,88.8,0.09,87.7,2455296.6,46.8,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J
HD 212301 b,0.39615,0.034116,2.245715,0,0,2453549.195,59.5,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L
HD 209458 b,0.68851,0.047235,3.52474859,0,0,2452826.628514,84.67,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Henry 2000 ; Charbonneau 2000,http://adsabs.harvard.edu/abs/2000ApJ...529L..41H ; http://adsabs.harvard.edu/abs/2000ApJ...529L..45C
HD 102272 b,4.10898,0.512595,127.58,0.05,118,2452146,155.5,Niedzielski 2008,http://adsabs.harvard.edu/abs/2009ApJ...693..276N,Niedzielski 2008,http://adsabs.harvard.edu/abs/2009ApJ...693..276N
HD 181433 b,0.0237331,0.0800943,9.3743,0.396,202,2454542,2.94,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HD 187123 b,0.510056,0.042091,3.0965828,0.0102736,24.5363,2454343.116,69.4006,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 1998,http://adsabs.harvard.edu/abs/1998PASP..110.1389B
HD 108147 b,0.257999,0.101407,10.8985,0.53,308,2450828.86,25.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Pepe 2002,http://adsabs.harvard.edu/abs/2002A%26A...388..632P
eta Cet b,2.5485,1.28444,407.5,0.155,244.7,,49.6,Trifonov 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T,Trifonov 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T
HD 215497 c,0.327524,1.28243,567.94,0.49,45,2455003.48,10.1,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
xi Aql b,1.77912,0.53813,136.75,0,0,2453001.7,65.4,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S
HD 33564 b,9.12785,1.1241,388,0.34,205,2452603,232,Galland 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..21G,Galland 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..21G
HD 40979 b,4.02224,0.846038,264.15,0.252,323.4,2453919,119.4,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F
GJ 581 c,0.0167756,0.0729238,12.9182,0.07,235,2454763,3.18,Forveille 2011,http://xxx.lanl.gov/abs/1109.2505,Udry 2007,http://adsabs.harvard.edu/abs/2007A%26A...469L..43U
HD 10180 c,0.0415054,0.0641175,5.75962,0.077,279,2454001.4959,4.54,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
bet UMi b,6.1,1.4219,522.3,0.19,307.4,2453175.3,126.1,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L
HD 134987 c,0.804926,5.82513,5000,0.12,195,2451100,9.3,Jones 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V
HD 40307 b,0.0129071,0.0468927,4.3115,0,0,2454562.77,1.97,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M
BD -11 4672 b,0.537715,2.28335,1667,0.05,231,2455899,13.4,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M
iota Dra b,9.31534,1.31029,511.098,0.7124,91.58,2452014.59,307.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Frink 2002,http://adsabs.harvard.edu/abs/2002ApJ...576..478F
HD 108874 b,1.2902,1.03527,394.48124,0.1276,219.356,2454045.049,37.27,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B
